TitleCN,TitleEN,SongID
聽阿，天使高聲唱,HARK! THE HERALD ANGELS SING,H46
不，永不孤單,"NO, NEVER ALONE",H460
奇妙又奇妙的耶穌,"WONDERFUL, WONDERFUL JESUS",H461
我惟靠祢,WE REST ON THEE,H462
我靈，鎮靜,"BE STILL, MY SOUL",H463
每一天,DAY BY DAY,H464
安息在那永久膀臂中,RESTING ON THE EVERLASTING ARMS,H465
將一切憂慮卸給神,CAST ALL YOUR CARE UPON HIM,H466
信靠親愛救主,TRUSTING IN THE SAVIOUR,H467
是愛的神作我牧人,THE LORD MY SHEPHERD IS,H468
耶穌是我牧者,JESUS IS OUR SHEPHERD,H469
普世歡騰,JOY TO THE WORLD,H47
詩篇第23章,THE 23RD PSALM,H470
一路我蒙救主引領,ALL THE WAY MY SAVIOUR LEADS ME,H471
指示祢路,"TEACH ME THY WAY, O LORD",H472
求握我手引領我,NULL,H473
領我﹐大哉﹐主耶和華,"GUIDE ME, O THOU GREAT JEHOVAH",H474
引我，柔愛的光,"LEAD, KINDLY LIGHT",H475
慈愛天父，求引領我,"LEAD US, HEAVENLY FATHER",H476
神用奧祕行動前來,GOD MOVES IN A MYSTERIOUS WAY,H477
求主耶穌操我舵,"JESUS, SAVIOR, PILOT ME",H478
祂帶領我,HE LEADETH ME,H479
天使歌唱在高天,ANGELS WE HAVE HEARD ON HIGH,H48
聖靈真實引導者,"HOLY SPIRIT, FAITHFUL GUIDE",H480
救主領我免迷途,"SAVIOUR, LEAD ME, LEST I STRAY",H481
天上的榮光,HEAVENLY SUNSHINE,H482
緊握我手引領我,TAKE THOU MY HAND,H483
溫柔引領我回家,"LEAD ME GENTLY HOME, FATHER",H484
我用眼睛引導你,I WILL GUIDE THEE WITH MINE EYE,H485
我的恩典夠你使用,MY GRACE IS SUFFICIENT FOR THEE,H486
耶穌醫治破碎心懷,JESUS HEALS THE BROKEN-HEARTED,H487
新鮮如同清晨甘露,FRESH AS THE DEW OF THE MORNING,H488
我常居住天愛中,IN HEAVENLY LOVE ABIDING,H489
以馬內利﹐懇求降臨,"O COME, O COME, EMMANUEL",H49
安穩在耶穌手臂,SAFE IN THE ARMS OF JESUS,H490
絕沒有,"NO, NOT ONE",H491
是否疲倦?,"ART THOU WEARY, HEAVY LADEN?",H492
像長江大河,LIKE A RIVER GLORIOUS,H493
哦﹐我魂﹐可無恐,IT IS WELL WITH MY SOUL,H494
我錨已拋牢,MY ANCHOR HOLDS,H495
耶穌，靈魂的愛人,"JESUS, LOVER OF MY SOUL",H496
望斷以及於耶穌,LOOKING OFF UNTO JESUS,H497
有日都要領會,SOME TIME WE’LL UNDERSTAND,H498
我今所知主恩有限,NULL,H499
全能君王降臨,"COME, THOU ALMIGHTY KING",H5
哦來蒙恩群眾,"O COME, ALL YE FAITHFUL",H50
當我來到我盡頭,WHEN I COME TO THE END OF MYSELF,H500
重擔當託耶和華,CAST THY BURDEN ON THE LORD,H501
十架不會重逾祂恩典,THE CROSS IS NOT GREATER THAN HIS GRACE,H502
重擔可解脫在加略山,BURDENS ARE LIFTED AT CALVARY,H503
神仍坐著為王,GOD IS STILL ON THE THRONE,H504
神未曾應許：天色常藍,GOD HATH NOT PROMISED SKIES ALWAYS BLUE,H505
來罷，憂傷的人,"COME, YE DISCONSOLATE",H506
神的路是正路,GOD'S WAY IS THE BEST WAY,H507
父，我知道我的一生,"FATHER, I KNOW THAT ALL MY LIFE",H508
當轉眼仰望耶穌,TURN YOUR EYES UPON JESUS,H509
離棄寶座﹐撇下王冕,THOU DIDST LEAVE THY THRONE,H51
當我在於最暗時間,NULL,H510
主顧念嗎?,DOES JESUS CARE?,H511
主，祢正懷念我,"THOU THINKEST, LORD, OF ME",H512
主已知道你的挫折,NULL,H513
親愛主，握我手,"PRECIOUS LORD, TAKE MY HAND",H514
現今時候已不多,NULL,H515
榮耀的盼望,O HOPE OF GLORY,H516
當我恩主降臨時候,WHEN MY BLEST LORD WILL COME AGAIN,H517
救我恩典,SAVED BY GRACE,H518
在那邊點名的時候,WHEN THE ROLL IS CALLED UP YONDER,H519
耶穌﹐我救主﹐降生馬槽中,"JESUS, MY SAVIOUR, TO BETHLEHEM CAME",H52
你要不死,WE MAY NOT DIE,H520
基督再臨,CHRIST RETURNETH,H521
羔羊婚筵,THE MARRIAGE SUPPER OF THE LAMB,H522
我將站在王面前,WE SHALL STAND BEFORE THE KING,H523
主耶穌，我正等待,NULL,H524
主，當我們被提上升,NULL,H525
當那偉大日子,NULL,H526
這世界非我家,THIS WORLD IS NOT MY HOME,H527
我想我家鄉在那邊,OH THINK OF THE HOME OVER THERE,H528
天是我家,HEAVEN IS MY HOME,H529
我有一位奇妙救主,I HAVE A FRIEND WHOSE FAITHFUL LOVE,H53
我們將要聚集河邊,SHALL WE GATHER AT THE RIVER?,H530
更近天上美家,CLOSER TO MY HOME,H531
玉漏沙殘,THE SANDS OF TIME,H532
更美地,NULL,H533
天是我家,NULL,H534
因有羔羊血洗淨,WASHED IN THE BLOOD OF THE LAMB,H535
在於新耶路撒冷,IN THE NEW JERUSALEM,H536
向前直往錫安,WE’RE MARCHING TO ZION,H537
當我們都回天家,WHEN WE ALL GET TO HEAVEN,H538
第一羨慕是救主,MY SAVIOR FIRST OF ALL,H539
華美天庭,IVORY PALACES,H54
前去！我們口號,FORWARD! BE OUR WATCHWORD,H540
哦，這就是我的榮耀,O THAT WILL BE GLORY,H541
再不久,SWEET BY-AND-BY,H542
哦，主，撒冷是祢所建設,NULL,H543
客旅,THE PILGRIM,H544
禱告乃是靈中所燒聖香,PRAYER IS THE INCENSE OF A HOLY HEART,H545
教我禱告，主,TEACH ME TO PRAY,H546
是有福禱告良辰,'TIS THE BLESSED HOUR OF PRAYER,H547
每一禱告都有答應,EVERY PRAYER WILL FIND ITS ANSWER,H548
憑信心求，奉主的名,ASK IN FAITH,H549
哦﹐主﹐我們今想到祢,"O LORD, WHEN WE THE PATH RETRACE",H55
何等朋友﹐我主耶穌,WHAT A FRIEND WE HAVE IN JESUS,H550
求主教我如何禱告,TEACH US TO PRAY,H551
禱告之時,SWEET HOUR OF PRAYER,H552
當告訴耶穌,TELL IT TO JESUS,H553
要告訴耶穌,I MUST TELL JESUS,H554
尚未蒙允?,UNANSWERED YET?,H555
只要與主說一聲,A LITTLE TALK WITH JESUS,H556
親愛主﹐我不能禱告,DISTRACTION IN PRAYER,H557
靠近主,CLOSE TO THEE,H558
你們若專心尋求我,IF WITH ALL YOUR HEARTS YE TRULY SEEK ME,H559
在加利利沿海之地,NULL,H56
耶穌是我的﹐我有把握,BLESSED ASSURANCE,H560
祂是我愛在破曉清晨,HE'S THE ONE I LOVE IN THE MORNING,H561
我有一位好朋友,I HAVE A FRIEND SO PRECIOUS,H562
渴慕耶穌,LONGING FOR JESUS,H563
祂摸我,HE TOUCHED ME,H564
奇妙又奇妙的耶穌,"WONDERFUL, WONDERFUL JESUS",H565
主﹐我是屬祢,"I AM THINE, O LORD",H566
哦﹐主﹐求祢長在我心,"O JESUS CHRIST, GROW THOU IN ME",H567
主阿﹐祢面我正尋求,"O LORD, THY FACE I AM SEEKING",H568
我神﹐我心充滿安寧,"MY HEART IS RESTING, O MY GOD",H569
耶穌我主榮耀王,JESUS MY KING OF GLORY,H57
沒有間隔﹐主,"NOTHING BETWEEN, LORD",H570
我時刻需要祢,I NEED THEE EVERY HOUR,H571
我如困鹿切慕溪水,AS PANTS THE HART,H572
僕人的眼睛,AS THE EYES OF THE SERVANTS,H573
在花園中,IN THE GARDEN,H574
主﹐我願更親近祢,JUST A CLOSER WALK WITH THEE,H575
我靈羨慕要祢,MY SPIRIT LONGS FOR THEE,H576
更加甘甜,STILL SWEETER EVERY DAY,H577
與主同行真榮耀無比,IT IS GLORY JUST TO WALK WITH HIM,H578
祢是愛的溫柔氣息,I CANNOT BREATHE ENOUGH OF THEE,H579
有一日,ONE DAY,H58
在隱密處與神同關鎖,SHUT IN WITH GOD,H580
主耶穌﹐我羨慕活在祢面前,"LORD JESUS, I LONG IN THY PRESENCE TO LIVE",H581
親愛主﹗寶貝主,NULL,H582
釋放我的靈,SET MY SPIRIT FREE,H583
與祢更親﹐我神,"NEARER, MY GOD, TO THEE",H584
我的道路,THE PATH I TRAVEL,H585
親近﹐更親近,"NEARER, STILL NEARER",H586
晨光掠天而過,WHEN MORNING GILDS THE SKIES,H587
每日早晨愛都新鮮,NEW EVERY MORNING IS THE LOVE,H588
醒來﹐我魂﹐當隨朝陽,"AWAKE, MY SOUL, AND WITH THE SUN",H589
哦﹐滿了傷痕的頭,O HEAD ONCE FULL OF BRUISES,H59
夕陽西沉,DAY IS DYING IN THE WEST,H590
救主耶穌﹐我的太陽,SUN OF MY SOUL,H591
傳給人,PASS IT ON,H592
我愛傳講主福音,I LOVE TO TELL THE STORY,H593
我們有一故事傳給萬邦,WE'VE A STORY TO TELL TO THE NATIONS,H594
為你﹐我今祈求,FOR YOU I AM PRAYING,H595
傳揚好信息,PUBLISH GLAD TIDINGS,H596
禾捆帶回來,BRINGING IN THE SHEAVES,H597
傳道的呼喊,A MISSIONARY CRY,H598
去發光,SEND THE LIGHT,H599
主啊﹐祢的名何其美,HOW EXCELLENT IS THY NAME,H6
主﹐你聖首滿傷跡,"O SACRED HEAD, NOW WOUNDED",H60
到遠方﹐到萬國,THE REGIONS BEYOND,H600
我豈可去﹐雙手空空﹖,"MUST I GO, AND EMPTY-HANDED?",H601
親愛罪人﹐請你來,COME YE SINNERS,H602
我願你認識耶穌,I WISH YOU KNEW MY JESUS,H603
你的罪雖像硃紅,THOUGH YOUR SINS BE AS SCARLET,H604
救主捨命心破碎,HE DIED OF A BROKEN HEART,H605
因為神愛世人,FOR GOD SO LOVED THE WORLD,H606
愛就是…,LOVE WAS WHEN…,H607
仰望真神羔羊,LOOK TO THE LAMB OF GOD,H608
至大醫生,THE GREAT PHYSICIAN,H609
我們的靈伏著注視,GAZING ON THE LORD IN GLORY,H61
罪惡途中多年流蕩,NULL,H610
無人像耶穌這樣愛顧我,NO ONE EVER CARED FOR ME LIKE JESUS,H611
全脫落,ROLLED AWAY,H612
祂除我罪,HE TOOK MY SINS AWAY,H613
祂救了我,HE RANSOMED ME,H614
一事我知道,THIS ONE THING I KNOW,H615
祂是我的一切,HE'S EVERYTHING TO ME,H616
你心有空處為主嗎﹖,HAVE YOU ANY ROOM FOR JESUS,H617
永遠永遠﹐永永遠遠,ETERNITY! ETERNITY,H618
讓祂進,LET HIM IN,H619
耶穌獨自祈禱,IT WAS ALONE THE SAVIOR PRAYED,H62
要及時,BE IN TIME,H620
讓耶穌來進入你心,LET JESUS COME INTO YOUR HEART,H621
幾乎要聽勸,ALMOST PERSUADED,H622
來信耶穌,COME TO JESUS,H623
何等柔細慈愛,SOFTLY AND TENDERLY,H624
今日召你,CALLING TODAY,H625
耶穌今留步,JESUS LINGERS STILL,H626
只要信祂,ONLY TRUST HIM,H627
照我本相,JUST I AM,H628
祢的歡迎聲音,I HEAR THY WELCOME VOICE,H629
此時何時﹗孤單之時﹗,O SOLEMN HOUR,H63
主﹐我要回家,"LORD, I'M COMING HOME",H630
救主耶穌﹐我來,"O BLESSED LORD, I COME",H631
進入我心,INTO MY HEART,H632
莫把我漏掉,PASS ME NOT,H633
使我成祝福,MAKE ME A BLESSING,H634
愛主﹐要我何去﹐我就去,I'LL GO WHERE YOU WANT ME TO GO,H635
要忠心,BE TRUE,H636
我不過是你運河,CHANNELS ONLY,H637
去作工,TO THE WORK,H638
事奉耶穌真有快樂,THERE IS JOY IN SERVING JESUS,H639
加略山巔,ON CALVARY'S BROW,H64
向我說話,"LORD, SPEAK TO ME",H640
主耶穌，我曾應許,"O JESUS, I HAVE PROMISED",H641
不再是我﹐乃是基督,NOT I BUT CHRIST,H642
神聖呼召,NULL,H643
趕緊工作﹐夜快臨,"WORK, FOR THE NIGHT IS COMING",H644
要將最好獻上,OUR BEST,H645
正當時日悄然而過,WHILE THE DAYS ARE GOING BY,H646
復興祢工作﹐主,"REVIVE THY WORK, O LORD",H647
恩雨﹐降恩雨,SHOWERS OF BLESSING,H648
降聖火,SEND THE FIRE,H649
救主為我十架受害,IT WAS FOR ME THE SAVIOR DIED,H65
五旬大權能,PENTECOSTAL POWER,H650
賜下大復興,SEND A GREAT REVIVAL,H651
懇求我主，鑒察我的心思,"SEARCH ME, O GOD",H652
枯乾的骸骨阿,O YE DRY BONES,H653
我神乃是大能堡壘,A MIGHTY FORTRESS IS OUR GOD,H654
古聖信仰,FAITH OF OUR FATHERS,H655
當你苦受撒但試探,NULL,H656
今日戰爭兇猛,CONFLICT TODAY IS FIERCE,H657
起來﹐起來為耶穌,"STAND UP, STAND UP FOR JESUS",H658
神的兒子出戰前方,THE SON OF GOD GOES FORTH TO WAR,H659
主﹐當我們漂流曠野,"LORD, THY LOVE HAS SOUGHT AND FOUND US",H66
我不敢稍微失敗,I DARE NOT BE DEFEATED,H660
耶穌的十字架,NULL,H661
得勝靠耶穌,VICTORY IN JESUS,H662
站住你當為主站住,STAND UP FOR JESUS,H663
福音執事當宣告,NULL,H664
從軍的教會,NULL,H665
誰是在主這邊﹖,WHO IS ON THE LORD'S SIDE?,H666
親愛基督精兵,"SOLDIER, SOLDIER, FIGHTING",H667
哈利路亞﹗耶穌得勝,HALLELUJAH! CHRIST IS VICTOR,H668
爭戰原來不是你的,NULL,H669
遠山迢迢﹐其色青青,THERE IS A GREEN HILL FAR AWAY,H67
靠主耶穌聖名,IN THE NAME OF JESUS,H670
超乎萬名之上的名,THE NAME WHICH IS ABOVE EVERY NAME,H671
要全心﹐要真心,"TRUE-HEARTED, WHOLE-HEARTED",H672
衝過！戰士哪﹐衝過！,"CHARGE, SOLDIERS, CHARGE IN BATTLE",H673
當奉耶穌這名站住,THE NAME OF JESUS IS OUR STAND,H674
神的子民被寇,NULL,H675
榮耀教會,A GLORIOUS CHURCH,H676
美麗錫安﹐我神聖城,GLORIOUS THINGS OF THEE ARE SPOKEN,H677
主﹐我愛祢國度,"I LOVE THY KINGDOM, LORD",H678
求主住在教會中,"JESUS, WITH THY CHURCH ABIDE",H679
哦﹐主﹐求祢指教我,O TEACH ME WHAT IT MEANETH,H68
我們聚集在祢墓的四圍,"AROUND THY GRAVE, LORD JESUS",H680
與主同葬,BURIED WITH CHRIST,H681
阿爸我們進前來,NULL,H682
為著這餅和這杯,FOR THE BREAD AND FOR THE WINE,H683
主舉愛旗遮蓋我們,JESUS SPREADS HIS BANNER OVER US,H684
主﹐在此﹐我要與祢面對面,"HERE, O MY LORD, I SEE THEE FACE TO FACE",H685
主耶穌﹐當那晚間,"ON THAT SAME NIGHT, LORD JESUS",H686
我們照祢恩惠話語,ACCORDING TO THY GRACIOUS WORD,H687
願主為我擘開生命的餅,BREAK THOU THE BREAD OF LIFE,H688
我主﹐請說﹐僕人敬聽,"MASTER, SPEAK! THY SERVANT HEARETH",H689
我每靜念那十字架,WHEN I SURVEY THE WONDROUS CROSS,H69
主﹐祢有否一句為我﹖,"LORD, HAST THOU NOT ONE WORD FOR ME?",H690
主阿﹐我們聚集祢前,"LORD, IN THY PRESENCE WE ARE MET",H691
救主我們因祢話,"BLESSED JESUS, AT THY WORD",H692
我們呼吸天上空氣,NULL,H693
福哉﹐愛的捆綁,BLEST BE THE TIE THAT BINDS,H694
弟兄和睦同居,NULL,H695
聖徒眾心﹐愛裡相繫,"CHRISTIAN HEARTS, IN LOVE UNITED",H696
哦完全的愛,O PERFECT LOVE,H697
愛的神阿在祢座前,O GOD OF LOVE TO THEE WE BOW,H698
我們愛,WE LOVE,H699
NULL,NULL,H7
哈利路亞﹗何等救主﹗,HALLELUJAH! WHAT A SAVIOUR,H70
慈仁牧人,NULL,H700
看哪﹗慈愛牧者站立,SEE ISRAEL'S GENTLE SHEPHERD STAND,H701
願神同在直至再見面,GOD BE WITH YOU TILL WE MEET AGAIN,H702
再見,GOOD-BYE,H703
你要痊愈麼,WILT THOU BE MADE WHOLE?,H704
只一摸,JUST ONE TOUCH,H705
神的福音﹐何等有福,BLESSED BE THE GLORIOUS TIDINGS,H706
身體得生命,LIFE FOR THE BODY,H707
祂醫治我﹐讚美祂名,"HE HEALETH ME, O BLESS HIS NAME",H708
主裏安睡,ASLEEP IN JESUS,H709
哎呀﹗救主真曾流血?,ALAS! AND DID MY SAVIOUR BLEED?,H71
睡罷﹗親愛,NULL,H710
今將此身安葬入墓,THIS BODY IN THE GRAVE,H711
又是一年正起首,ANOTHER YEAR IS DAWNING,H712
感謝神,THANKS TO GOD,H713
讓我們重起首,"COME, LET US ANEW",H714
數主恩惠,COUNT YOUR BLESSINGS,H715
詩篇一百五十篇,THE 150TH PSALM,H716
看哪﹐神的羔羊,BEHOLD THE LAMB OF GOD,H72
哦﹐主﹐甚麼使你頭垂﹖,"O CHRIST, WHAT BURDENS BOWED THY HEAD",H73
憐憫﹐慈愛,MERCIFUL AND LOVING,H74
何等奇妙的救主,WHAT A WONDERFUL SAVIOUR,H75
"主,我寶貴祢的行徑","LORD, WE TREASURE WITH AFFECTION",H76
永久磐石,ROCK OF AGES,H77
近十架,NEAR THE CROSS,H78
古老的十字架,THE OLD RUGGED CROSS,H79
讚美我主﹐全能主神,"PRAISE TO THE LORD, THE ALMIGHTY",H8
祂去加略,ALL THE WAY TO CALVARY HE WENT FOR ME,H80
我最知心的朋友,My Best Friend,H800
那雙看不見的手,Those Invisible Hands,H801
主是為我釘十字架,FOR ME THE LORD WAS CRUCIFIED,H81
在主十架之下,BENEATH THE CROSS OF JESUS,H82
救主藉著永遠的靈,IT WAS THROUGH GOD'S ETERNAL SPIRIT,H83
祂不能救自己,HIMSELF HE COULD NOT SAVE,H84
頌讚聲音何等難得,HOW PLEASANT IS THE SOUND OF PRAISE,H85
無他，只有耶穌寶血,NOTHING BUT THE BLOOD OF JESUS,H86
祢愛所給雖然甚多,OF ALL THE GIFTS THY LOVE BESTOWS,H87
曾否在羔羊血洗清潔?,ARE YOU WASHED IN THE BLOOD?,H88
我一見這血,WHEN I SEE THE BLOOD,H89
快樂﹐快樂﹐我們敬拜,"JOYFUL, JOYFUL, WE ADORE THEE",H9
有一血泉,THERE IS A FOUNTAIN FILLED WITH BLOOD,H90
權能是在血,THERE IS POWER IN THE BLOOD,H91
加利利陌生人,THE STRANGER OF GALILEE,H92
我以信心仰望祢,MY FAITH LOOKS UP TO THEE,H93
九十九隻羊,THE NINETY AND NINE,H94
昨日、今日、直到永遠,"YESTERDAY, TODAY, FOREVER",H95
恩典—美妙聲音,GRACE! 'TIS A CHARMING SOUND,H96
居榮美之地,DWELLING IN BEULAH LAND,H97
美哉、善哉﹐羔羊的新歌,WONDERFUL GRAND NEW SONG OF THE LAMB,H98
耶穌奇妙的救恩,WONDERFUL GRACE OF JESUS,H99
