TitleCN,TitleEN,SongID
不能朽﹐不能見﹐獨一的真神,"IMMORTAL, INVISIBLE, GOD ONLY WISE",H14
神的兒子﹐親愛救主,"O BLESSED SAVIOUR, SON OF GOD",H140
耶穌得勝﹐歡聲雷動,NULL,H141
更美,NULL,H142
頌讚受膏的基督,HAIL TO THE LORD'S ANOINTED,H143
為我受傷,WOUNDED FOR ME,H144
等到何日恩主纔回來﹖,"OH, HOW LONG BEFORE MY LORD COMES BACK",H145
主必再來,JESUS IS COMING AGAIN,H146
主必再來,JESUS IS COMING AGAIN,H147
金色黎明,SOME GOLDEN DAYBREAK,H148
我主﹐我正等候你再臨,NULL,H149
神阿﹐祢是何等奇妙,"MY GOD, HOW WONDERFUL THOU ART",H15
我知道我救贖主活著,I KNOW THAT MY REDEEMER LIVETH,H150
我王必定快要再臨,MY KING WILL SOON COME BACK AGAIN,H151
一點時候,A LITTLE WHILE,H152
會否就在今天﹖,WHAT IF IT WERE TODAY?,H153
我們的大君彌賽亞,NULL,H154
會否祂來正逢我們儆醒?,WILL JESUS FIND US WATCHING?,H155
自伯大尼,SINCE LONG AGO AT BETHANY,H156
看哪﹗救主駕雲降臨,"LO, HE COMES WITH CLOUDS DESCENDING",H157
主耶穌要再來,HE’S COMING BACK AGAIN,H158
我能否忘快來的主﹖,NULL,H159
頌讚與尊貴,BLESSING AND HONOR,H16
這名何等奇妙難言,THERE’S SOMETHING ABOUT THAT NAME,H160
耶穌此名何等芬芳,HOW SWEET THE NAME OF JESUS SOUNDS,H161
主耶穌﹐我愛祢名,"THY NAME WE LOVE, LORD JESUS",H162
時常攜帶耶穌聖名,TAKE THE NAME OF JESUS WITH YOU,H163
頌讚主尊名,BLESSED BE THE NAME,H164
耶穌﹗祢名何等芬芳,"JESUS, HOW MUCH THY NAME UNFOLDS",H165
耶穌﹐這名甜美、芬芳,NULL,H166
大地無名甜至如此,THERE IS NO NAME SO SWEET ON EARTH,H167
耶穌﹗我愛這名,"JESUS, THY NAME I LOVE",H168
耶穌﹗這名﹐何其甘甜,THE NAME OF JESUS IS SO SWEET,H169
我們不會疲倦,"WE ARE NEVER, NEVER WEARY",H17
祂名為奇妙,HIS NAME IS WONDERFUL,H170
廣﹐廣似洋無邊,"WIDE, WIDE AS THE OCEAN",H171
耶穌竟然愛我,JESUS LOVES EVEN ME,H172
祂來尋覓﹐滿了柔情,IN TENDERNESS HE SOUGHT ME,H173
神聖的愛﹐何其美甜﹗,"O LOVE DIVINE, HOW SWEET THOU ART",H174
我們雖然時常搖動,NULL,H175
我的救主,O BLESSED SAVIOUR,H176
主愛﹐口舌真說不來,HIS LOVE IS MORE THAN TONGUE CAN TELL,H177
祢的大愛,IT PASSETH KNOWLEDGE,H178
何能如此-如我也能,AND CAN IT BE THAT I SHOULD GAIN,H179
神聖之愛﹐遠超眾愛,"LOVE DIVINE, ALL LOVES EXCELLING",H18
主耶穌﹐當我們想到祢,"LORD JESUS, WHEN WE THINK OF THEE",H180
祢這不肯放我的愛,O LOVE THAT WILT NOT LET ME GO,H181
深哉﹐深哉﹐耶穌的愛,"OH, THE DEEP, DEEP LOVE OF JESUS",H182
哦﹐祂的愛,O HOW HE LOVES,H183
我有良友,I'VE FOUND A FRIEND,H184
主的愛越久越深(第一詞),SWEETER AS THE YEARS GO BY,H185
救主之愛,MY SAVIOUR'S LOVE,H186
驚人恩典,AMAZING GRACE,H187
耶穌已愛我,JESUS HAS LOVED ME,H188
我們要從那裏說起,WHERE SHALL OUR WONDERING SOULS BEGIN?,H189
世上罪人﹐為何徬徨,"SOULS OF MEN, WHY WILL YE SCATTER",H19
恩愛標本,NULL,H190
我真希奇,I AM AMAZED,H191
我主耶穌﹐惟祢是配,"JESUS, THOU ALONE ART WORTHY",H192
讚美﹐不盡讚美,PRAISE HIM FOREVERMORE,H193
為何我要歌頌耶穌﹖,WHY DO I SING ABOUT JESUS?,H194
來阿﹐祢這萬福泉源,"COME, THOU FOUNT",H195
主替我還清,JESUS PAID IT ALL,H196
咒詛祂受﹐祝福我享,NULL,H197
我歌頌祢,I SING OF THEE,H198
十架下我低頭,'NEATH THE CROSS OF MY SAVIOR,H199
聖哉﹐聖哉﹐聖哉,"HOLY, HOLY, HOLY",H2
真神之愛(第一詞),THE LOVE OF GOD,H20
哦﹐願我有千萬舌頭,OH FOR A THOUSAND TONGUES TO SING,H200
主﹐接納我們的詩歌,"LORD, ACCEPT OUR FEEBLE SONG",H201
我們從前所有,ALL THAT WE WERE,H202
邊唱邊行,HE KEEPS ME SINGING,H203
主恩更多,HIS GRACE ABOUNDETH MORE,H204
自耶穌來住在我心,Since Jesus Came Into My Heart,H205
耶穌同在就是天堂,"WHERE JESUS IS, 'TIS HEAVEN THERE",H206
我的詩歌是耶穌,MY SONG SHALL BE OF JESUS,H207
哈利路亞我真歡樂,"HALLELUJAH, I’VE BEEN HAPPY",H208
在我心中唱美歌,IN MY HEART THERE RINGS A MELODY,H209
父阿﹐久在創世之前,"FATHER, 'TWAS THY LOVE THAT KNEW US",H21
不再定罪,NO CONDEMNATION,H210
活在哈利路亞這一邊,LIVING ON THE HALLELUJAH SIDE,H211
不知如何,SOMEHOW,H212
諸天下降，主榮耀滿我心,HEAVEN CAME DOWN AND GLORY FILLED MY SOUL,H213
快樂日,O HAPPY DAY,H214
我真快樂,"I’M SO HAPPY, AND HERE’S THE REASON",H215
永遠不渴,NEVER THIRST AGAIN,H216
我魂，醒來，快樂歌唱,"AWAKE, MY SOUL, TO JOYFUL LAYS",H217
祂是我靈魂的救主,HE’S THE SAVIOR OF MY SOUL,H218
讚祂！讚祂,"PRAISE HIM, PRAISE HIM!",H219
我要唱耶和華的大慈愛,I WILL SING OF THE MERCIES OF THE LORD,H22
我是個罪人蒙主恩,ONLY A SINNER SAVED BY GRACE,H220
樂哉﹐白白恩典,REJOICE! HIS GRACE IS FREE,H221
當我罪中流蕩,JESUS FOUND ME,H222
哦﹐主耶穌﹐每想到祢,"LORD JESUS CHRIST, OUR HEARTS FEEL SWEET",H223
愛祢更深,MORE LOVE TO THEE,H224
我耶穌﹐我愛祢,"MY JESUS, I LOVE THEE",H225
思念主愛,"THY LOVE, O LORD",H226
耶穌﹐耶穌﹐我的性命,"O JESUS, JESUS, DEAREST LORD",H227
我愛祂因祂已先愛我,"I LOVE HIM, BECAUSE HE FIRST LOVED ME",H228
怎能叫我不愛主﹗,HOW CAN I HELP BUT LOVE HIM?,H229
神阿﹐祢為何故,"WHAT WAS IT, BLESSED GOD",H23
主阿！我深愛祢,"O LORD, HOW I LOVE THEE",H230
我何等愛耶穌,"O, HOW I LOVE JESUS",H231
神與我的愛,GOD’S LOVE AND MINE,H232
耶穌﹐祢的全勝的愛,"JESUS, THINE ALL-VICTORIOUS LOVE",H233
主，祢所有一切工作,"IN ALL THY WORK, O LORD",H234
呼出與吸入,BREATHING OUT AND BREATHING IN,H235
聖靈顯現在我衷,THE SPIRIT DWELLS IN ME,H236
蒙聖靈的安慰,THE COMFORT OF THE HOLY GHOST,H237
保惠師已經來,THE COMFORTER HAS COME,H238
井阿請你湧上水來,"SPRING UP, O WELL",H239
神哪﹐祢在聖所之內,"O GOD, WITHIN THE HOLY PLACE",H24
能力從上傾,POWER FROM ON HIGH,H240
給我穿上能力,CLOTHE US WITH POWER WE PRAY,H241
求溢我杯,"FILL MY CUP, LORD",H242
聖靈的愛從天傾瀉,"DESCEND ON ME, SPIRIT OF LOVE",H243
求主用血洗我清潔,NULL,H244
充滿我,FILL ME NOW,H245
有福的安靜,BLESSED QUIETNESS,H246
聖靈發出祂光芒,"HOLY GHOST, WITH LIGHT DIVINE",H247
我今舉手向祢請,"COME, LORD, IN THY SPIRIT COME",H248
求主寶血潔淨我,"LORD, MAY THY BLOOD NOW CLEANSE ME",H249
沒有血﹐沒有壇,"NO BLOOD, NO ALTAR NOW",H25
將器皿多多騰出,"BRING YOUR VESSELS, NOT A FEW",H250
主﹐我曾否叫聖靈憂愁﹖,"OH, HAVE WE GRIEVED THEE?",H251
我神﹐求祢用聖靈再充滿我,SPIRIT OF THE LIVING GOD,H252
後是膏油先是血,"FIRST THE BLOOD, THEN ANOINTING OIL",H253
我主﹐只有祢的聖靈,"THY HOLY SPIRIT, LORD, ALONE",H254
焚燒在我心內,'TIS BURNING IN MY SOUL,H255
吩咐磐石,SPEAK TO THE ROCK,H256
哦，主耶穌，當祢在地,"OH, JESUS, LORD WHEN THOU ON EARTH",H257
祢被父神右手高舉,EXALTED BY THY FATHER’S HAND,H258
進來，我主,"COME IN, O COME",H259
哦﹐神﹐是祢召我們,"BY THEE, O GOD, INVITED",H26
何等慚愧﹐何等痛悔,"OH, THE BITTER SHAME AND SORROW",H260
我豈可再冷淡退後?,HOW CAN I EVER STAY AWAY?,H261
願更與神親密同行,"OH, FOR A CLOSER WALK WITH GOD",H262
主的妙愛,NULL,H263
我帶我罪就祢,I BRING MY SINS TO THEE,H264
從前我亦曾熱心,NULL,H265
主，是我否？,NULL,H266
我直跑,I PRESS ON,H267
我心所追求乃是神自己,MY GOAL IS GOD HIMSELF,H268
進入幔內，出到營外,ENTER THE VEIL AND GO WITHOUT THE CAMP,H269
我為甚麼憂懼疑惑﹖,"WHY SHOULD I WORRY, DOUBT AND FEAR?",H27
願祢為大,"BE THOU SUPREME, O JESUS CHRIST",H270
神在天上有一寶貝,GOD IN HEAVEN HATH A TREASURE,H271
我們乃是朝聖旅客,THROUGH THE NIGHT OF DOUBT AND SORROW,H272
進深，進深,"DEEPER, DEEPER",H273
更高之處,HIGHER GROUND,H274
往前走,NULL,H275
主﹗使我更愛祢,MORE HOLINESS GIVE ME,H276
我願更多認識基督,MORE ABOUT JESUS WOULD I KNOW,H277
但願耶穌的美麗從我顯現,LET THE BEAUTY OF JESUS BE SEEN IN ME,H278
多又多,MORE AND MORE,H279
我主耶穌是我的義,"JESUS, THY BLOOD AND RIGHTEOUSNESS",H28
主﹐祢榮面是我所羨,THY BLESSED FACE IS MY DESIRE,H280
求主耶穌銘刻我心,JESUS! ENGRAVE IT ON MY HEART,H281
羞認主名,ASHAMED OF JESUS,H282
要思想耶穌,CONSIDER HIM,H283
神的至好,GOD’S BEST,H284
我已得佳美信息,I'VE BELIEVED THE TRUE REPORT,H285
只有一事,THERE IS ONE THING,H286
比雪更白,WHITER THAN SNOW,H287
祢這神的隱藏的愛,THOU HIDDEN LOVE OF GOD,H288
求主把我捆綁,"MAKE ME A CAPTIVE, LORD",H289
穩踏磐石,THE SOLID ROCK,H29
我要更像主,MORE LIKE THE MASTER,H290
哦﹐我要像祢,O TO BE LIKE THEE,H291
救主祢的如火眼睛,NULL,H292
更深進入聖潔生活,DEEPER INTO THE HOLY LIFE,H293
耶穌﹐我來就祢,"JESUS, I COME",H294
我今轉身背向俗世,I’VE TURNED MY BACK UPON THE WORLD,H295
榮上加榮,FROM GLORY TO GLORY,H296
為你﹐我捨生命,I GAVE MY LIFE FOR THEE,H297
將心給我,GIVE ME THY HEART,H298
我願作合乎祂心意的人,ONLY TO BE WHAT HE WANTS ME TO BE,H299
三一頌,DOXOLOGY,H3
我們聽見慈愛之聲,WE HEAR THE WORDS OF LOVE,H30
我已經決定,I HAVE DECIDED TO FOLLOW JESUS,H300
祢的美麗將我心奪,CAPTURED BY THY BEAUTY,H301
你的靈豈非與祂會過﹖,"HAST THOU HEARD HIM, SEEN HIM, KNOWN HIM?",H302
將你最好的獻與主,GIVE OF YOUR BEST TO THE MASTER,H303
奉獻與你,SOMETHING FOR THEE,H304
我今屬於耶穌,I BELONG TO JESUS,H305
活著為耶穌,LIVING FOR JESUS,H306
世上景色我已一閱,HAVING SEEN THE WORLD’S FAIR BEAUTY,H307
獻己與主,CONSECRATION,H308
一切獻於祭壇,ALL ON THE ALTAR,H309
坦然無懼來到神前,A MIND AT PERFECT PEACE,H31
主﹐祢得勝,"LORD, THOU HAST WON",H310
都歸耶穌,ALL FOR JESUS,H311
全所有奉獻,I SURRENDER ALL,H312
收我此生作奉獻,"TAKE MY LIFE, AND LET IT BE",H313
從我活出祢的自己,LIVE OUT THY LIFE WITHIN ME,H314
跟從我,FOLLOW ME,H315
跟隨主耶穌,FOLLOWING JESUS,H316
無論何處我要跟隨,WHERE HE LEADS ME I WILL FOLLOW,H317
我當如何愛我的主﹖,HOW SHALL I FOLLOW HIM I SERVE?,H318
主愛長闊高深,"WHAT LENGTH, BREADTH, HEIGHT, AND DEPTH",H319
我心﹐應當來稱頌主,"PRAISE, MY SOUL, THE KING OF HEAVEN",H32
跟隨跟隨,FOLLOW ON,H320
步步追步步隨,STEP BY STEP,H321
耶穌我今背起十架,"JESUS, I MY CROSS HAVE TAKEN",H322
緊緊跟隨我,FOLLOW ME,H323
我是否要背負十架？,AM I A SOLDIER OF THE CROSS?,H324
在我魂間，今天有陽光,SUNSHINE IN MY SOUL,H325
谷中的百合花,THE LILY OF THE VALLEY,H326
今主耶穌滿足我心,NOW NONE BUT CHRIST CAN SATISFY,H327
當我不見基督容華,HOW TEDIOUS AND TASTELESS THE HOURS,H328
惟主耶穌沐我心靈,ALL THAT THRILLS MY SOUL,H329
榮耀歸與真神,TO GOD BE THE GLORY,H33
我捨一切而要耶穌,"I'LL GIVE MY ALL, JESUS TO GAIN",H330
以愛為旗在我以上,HIS BANNER OVER ME IS LOVE,H331
我寧願有耶穌,I'D RATHER HAVE JESUS,H332
祂是一切最親,HE IS MOST DEAR TO ME,H333
主耶穌﹐只要一想到祢,"JESUS, THE VERY THOUGHT OF THEE",H334
救主耶穌愛者之樂,"JESUS, THOU JOY OF LOVING HEARTS",H335
主，我還有誰在天上？,"WHOM HAVE I, LORD, IN HEAVEN BUT THEE?",H336
永遠住在我心,CONSTANTLY ABIDING,H337
我是屬祂﹐祂屬我,"I AM HIS, AND HE IS MINE",H338
哦，在榮耀裡的基督,MARVEL NOT THAT CHRIST IN GLORY,H339
我要抬頭向眾山嶺舉目,UNTO THE HILLS AROUND,H34
惟有耶穌,ONLY JESUS,H340
哈利路亞！我尋得祂,HALLELUJAH! I HAVE FOUND HIM,H341
我今屬於主耶穌,NOW I BELONG TO JESUS,H342
美哉，主耶穌,FAIREST LORD JESUS,H343
今世福樂沒滅,"FADE, FADE, EACH EARTHLY JOY",H344
我已揀選主耶穌,NULL,H345
思念主,NULL,H346
北風阿，求速興起,NULL,H347
祢名似膏香,THY NAME IS SWEET,H348
主阿，在你面前,"O THOU, IN WHOSE PRESENCE",H349
神﹐我讚美祢,REVIVE US AGAIN,H35
暴風雨中之避難所,A SHELTER IN THE TIME OF STORM,H350
住在主裏面,NULL,H351
住在祢裏面,ABIDE IN THEE,H352
在至高者的隱密處,WITHIN HIS SECRET PLACE I HIDE,H353
祂隱藏我魂,HE HIDETH MY SOUL,H354
靠近父神懷中,NEAR TO THE HEART OF GOD,H355
住在主裡,ABIDING,H356
時常喜樂,LET US REJOICE,H357
在祂同在的隱密處,IN THE SECRET OF HIS PRESENCE,H358
在祂翼下,UNDER HIS WINGS,H359
永遠的光,ETERNAL LIGHT,H36
藏身主裏,HIDING IN THEE,H360
進入幔內,WITHIN THE VEIL,H361
與我同住,ABIDE WITH ME,H362
主使我願意,"LORD, MAKE ME WILLING",H363
信而順從,TRUST AND OBEY,H364
求祢揀選我道路,"THY WAY, NOT MINE, O LORD",H365
隨祢調度,HAVE THINE OWN WAY﹐LORD,H366
順從,OBEDIENCE,H367
我為基督而生,NULL,H368
壓得太緊,PRESSED OUT OF MEASURE,H369
亞伯拉罕的神,THE GOD OF ABRAHAM PRAISE,H37
父阿是的,NULL,H370
豈敢,HOW DARE I,H371
我若稍微偏離正路,IF FROM THE RIGHT COURSE I DEPART,H372
祂的臉面﹐祂的天使常看見,HIS ANGELS HIS COUNTENANCE ALWAYS BEHOLD,H373
神旨美甜,SWEET WILL OF GOD,H374
祢若取去我的心愛,IF THOU SHOULDST TAKE MY LOVE AWAY,H375
主阿照祢旨意,"MY JESUS, AS THOU WILT",H376
願主的旨意成就,THE WILL OF THE LORD BE DONE,H377
順服,SUBMISSION,H378
主阿祢不可讓步,DO NOT YIELD THY WAY TO MINE,H379
阿爸﹐我們來頌讚祢,"ABBA, FATHER! WE ADORE THEE",H38
十字架的道路要犧牲,THE WAY OF THE CROSS,H380
讓我愛而不受感戴,LET ME LOVE AND NOT BE RESPECTED,H381
主十字架是我誇耀,IN THE CROSS OF CHRIST I GLORY,H382
救主十架是我誇耀,THE CROSS OF CHRIST,H383
領我去髑髏地,LEAD ME TO CALVARY,H384
我是黑夜行人,"I, PILGRIM OF THE NIGHT",H385
祢若不壓橄欖成渣,OLIVES THAT HAVE KNOWN NO PRESSURE,H386
他們跟隨羔羊,THESE ARE THEY WHICH FOLLOW THE LAMB,H387
我願揀選神祢美旨,"I CHOOSE THEE, BLESSED WILL OF GOD",H388
哦﹗基督的十字架,"O, CROSS OF CHRIST",H389
阿爸﹐父啊﹐我們現在,"ABBA, FATHER, WE APPROACH THEE",H39
眾人湧進主的國度,MANY CROWD THE SAVIOUR'S KINGDOM,H390
破毀帶我到主懷,WRECKED OUTRIGHT ON JESUS’ BREAST,H391
惟有常出代價,CROSS OF CHRIST! LEAD ONWARD,H392
神祢正在重排我的前途,NULL,H393
由死而生,LIFE OUT OF DEATH,H394
哦﹐我願成為無有,"OH, TO BE NOTHING",H395
非我惟主,NOT I BUT CHRIST,H396
十架曾否使你疲倦,HAVE YOU GROWN WEARY OF THE CROSS?,H397
耶穌豈當獨背十架,MUST JESUS BEAR THE CROSS ALONE?,H398
